regex	replace_char
束温	東温
欠万	久万
ツ之江	川之江

#高知県#	#高知県#
束洋	東洋
大ツ	大川
佐ツ	佐川
[こニ]又	二又
上[ハ八][ツ川]	上八川

#福岡県#	#福岡県#
田ツ	田川
柳ツ	柳川
ハ女	八女
中問	中間
欠山	久山
桂ツ	桂川
束峰	東峰
八幡束	八幡東

#佐賀県#	#佐賀県#
多欠	多久
吉野ケ里	吉野ヶ里

#長崎県#	#長崎県#
束彼杵	東彼杵
ツ棚	川棚

#熊本県#	#熊本県#
ハ代	八代
玉束	玉東
氷ツ	氷川
津奈[ホ不]	津奈木
多良[ホ不]	多良木
五[ホ不]	五木
植[ホ不]	植木

#大分県#	#大分県#
津欠見	津久見
国束	国東

#宮崎県#	#宮崎県#
串問	串間
[シミ]股	三股
[ホ不]城	木城
ツ南	川南
門ツ	門川
高[チ干]穂	高千穂
日え影	日之影
五ケ瀬	五ヶ瀬

#鹿児島県#	#鹿児島県#
阿欠根	阿久根
西え表	西之表
串[ホ不]野	串木野
屋欠島	屋久島
徳え島	徳之島

#沖縄県#	#沖縄県#
座問味	座間味
欠米	久米
ハ重	八重
多良問	多良間
宮古鳥	宮古島
